,id,rating,time,price,sqmeter_price,address,subway,rooms,minutes_to_subway,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,shown
0,1,128.02986856865058,2022-08-03,9400000,164912,"Санкт-Петербург, пр-т Авиаконструкторов, 20к2",Комендантский проспект,2,30,57.0,нет,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_571m_110et._2447496870,1,10,
1,2,180.4253374052536,2022-08-03,8300000,166000,"Санкт-Петербург, Богатырский пр-т, 9",Пионерская,2,15,50.0,лоджия,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_1112et._2428167453,11,12,
2,3,170.37560506763592,2022-08-03,7200000,153191,"Санкт-Петербург, Гражданский пр-т, 92к1",Академическая,2,15,47.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_478m_89et._2443422729,8,9,
3,4,146.7579226121302,2022-08-03,8149000,162980,"Санкт-Петербург, Купчинская ул., 13к3",Купчино,2,20,50.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_79et._2461500022,7,9,
4,5,220.06696718330792,2022-08-03,8700000,155357,"Санкт-Петербург, Учебный пер., 12к2",Озерки,3,20,56.0,"балкон, лоджия",косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_56m_29et._2445647672,2,9,
5,6,225.86605442857058,2022-08-02,5846520,92801,"Санкт-Петербург, проспект Обуховской Обороны",Пролетарская,2,10,63.0,лоджия,неизвестно,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_632m_414et._2514039602,4,14,
6,7,180.4088510334114,2022-08-03,9800000,153125,"Санкт-Петербург, Кондратьевский пр-т, 40к6",Выборгская,3,30,64.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_647m_45et._2236398938,4,5,
7,8,197.89846190111567,2022-08-02,8599999,126470,"Санкт-Петербург, Октябрьская наб., 80к3",Ломоносовская,3,30,68.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68m_25et._2292751408,2,5,
8,9,200.69823345678407,2022-08-02,6500000,144444,"Санкт-Петербург, пр-т Обуховской Обороны, 245к1",Пролетарская,2,10,45.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_25et._2382978954,2,5,
9,10,201.2575042809067,2022-08-02,7400000,164444,"Санкт-Петербург, ул. Сантьяго-де-Куба, 6к1",Озерки,2,30,45.0,лоджия,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_454m_39et._2496704945,3,9,
