rating,shown,time,price,address,subway,minutes_to_subway,rooms,total_area,balcony,type_of_renovation,type_of_house,link,cur_floor,cnt_floors,sqmeter_price
,,2022-08-03,9400000,"Санкт-Петербург, пр-т Авиаконструкторов, 20к2",Комендантский проспект,30,2,57.0,нет,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_571m_110et._2447496870,1,10,164912.0
,,2022-08-03,8300000,"Санкт-Петербург, Богатырский пр-т, 9",Пионерская,15,2,50.0,лоджия,косметический,монолитный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_1112et._2428167453,11,12,166000.0
,,2022-08-03,7200000,"Санкт-Петербург, Гражданский пр-т, 92к1",Академическая,15,2,47.0,балкон,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_478m_89et._2443422729,8,9,153191.0
,,2022-08-03,8149000,"Санкт-Петербург, Купчинская ул., 13к3",Купчино,20,2,50.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_79et._2461500022,7,9,162980.0
,,2022-08-03,8700000,"Санкт-Петербург, Учебный пер., 12к2",Озерки,20,3,56.0,"балкон, лоджия",косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_56m_29et._2445647672,2,9,155357.0
,,2022-08-02,5846520,"Санкт-Петербург, проспект Обуховской Обороны",Пролетарская,10,2,63.0,лоджия,неизвестно,монолитно-кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_632m_414et._2514039602,4,14,92801.0
,,2022-08-03,9800000,"Санкт-Петербург, Кондратьевский пр-т, 40к6",Выборгская,30,3,64.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_647m_45et._2236398938,4,5,153125.0
,,2022-08-02,8599999,"Санкт-Петербург, Октябрьская наб., 80к3",Ломоносовская,30,3,68.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68m_25et._2292751408,2,5,126470.0
,,2022-08-02,6500000,"Санкт-Петербург, пр-т Обуховской Обороны, 245к1",Пролетарская,10,2,45.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_25et._2382978954,2,5,144444.0
,,2022-08-02,7400000,"Санкт-Петербург, ул. Сантьяго-де-Куба, 6к1",Озерки,30,2,45.0,лоджия,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_454m_39et._2496704945,3,9,164444.0
,,2022-08-02,8999999,"Санкт-Петербург, Краснопутиловская ул., 72",Московская,30,2,43.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_432m_25et._2489841300,2,5,209302.0
,,2022-08-02,7500000,"Санкт-Петербург, пр-т Космонавтов, 30к4",Парк Победы,30,2,43.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_437m_25et._2451622689,2,5,174418.0
,,2022-08-02,7200000,"Санкт-Петербург, Дачный пр-т, 13",Проспект Ветеранов,10,2,42.0,нет,требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_425m_612et._2459783963,6,12,171428.0
,,2022-08-02,9670000,"Санкт-Петербург, Пейзажная ул., 18к2",Гражданский проспект,31,2,53.0,нет,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_53m_118et._2426101455,1,18,182452.0
,,2022-08-02,9200000,"Санкт-Петербург, пр-т Культуры, 25к4",Гражданский проспект,31,2,50.0,балкон,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_502m_1317et._2411210515,13,17,184000.0
,,2022-08-02,9350000,"Санкт-Петербург, пр-т Славы, 30к1",Проспект Славы,10,3,60.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_60m_29et._2405927947,2,9,155833.0
,,2022-08-02,9400000,"Санкт-Петербург, Будапештская ул., 9к1",Международная,10,3,66.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_66m_79et._2351756075,7,9,142424.0
,,2022-08-02,8700000,"Санкт-Петербург, ул. Генерала Симоняка, 15",Проспект Ветеранов,31,3,64.0,лоджия,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_64m_69et._2469609388,6,9,135937.0
,,2022-08-02,7200000,"Санкт-Петербург, ул. Стойкости, 18к1",Проспект Ветеранов,31,2,44.0,"балкон, лоджия",косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_19et._2316463623,1,9,163636.0
,,2022-08-02,7300000,"Санкт-Петербург, Будапештская ул., 19к3",Международная,15,2,44.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_448m_45et._2117594996,4,5,165909.0
,,2022-08-02,8590000,"Санкт-Петербург, пр-т Энергетиков, 30к1",Ладожская,31,2,49.0,балкон,дизайнерский,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_495m_39et._2497918865,3,9,175306.0
,,2022-08-02,9700000,"Санкт-Петербург, Прибрежная ул., 1",Рыбацкое,15,2,52.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_521m_612et._2484067922,6,12,186538.0
,,2022-08-02,6790000,"Санкт-Петербург, ул. Маршала Казакова, 1к2",Автово,20,2,44.0,лоджия,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_712et._2367533721,7,12,154318.0
,,2022-08-02,6790000,"Санкт-Петербург, ул. Маршала Казакова, 1к2",Автово,20,2,44.0,лоджия,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_443m_712et._2367533721,7,12,154318.0
,,2022-08-02,6990000,"Санкт-Петербург, Пискарёвский пр-т, 56к1",Академическая,31,2,47.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_47m_15et._2336406346,1,5,148723.0
,,2022-08-02,6650000,"Санкт-Петербург, пр-т Большевиков, 49к1",Улица Дыбенко,30,2,45.0,нет,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_456m_25et._2490712307,2,5,147777.0
,,2022-08-02,8900000,"Санкт-Петербург, ул. Сикейроса, 12",Озерки,15,2,69.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_69m_910et._2480989503,9,10,128985.0
,,2022-08-02,7500000,"Санкт-Петербург, Пискарёвский пр-т, 40",Академическая,31,2,50.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_50m_89et._2504732718,8,9,150000.0
,,2022-08-02,8100000,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, Первомайская ул., 3",Купчино,31,2,56.0,лоджия,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_563m_814et._2467114742,8,14,144642.0
,,2022-08-02,9800000,"Санкт-Петербург, пос. Парголово, ул. Михаила Дудина, 25к2",Парнас,10,3,78.0,нет,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_785m_1626et._2470131725,16,26,125641.0
,,2022-08-02,6200000,"Санкт-Петербург, Кубинская ул., 30",Парк Победы,30,2,44.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_44m_15et._2469032516,1,5,140909.0
,,2022-08-02,7500000,"Санкт-Петербург, Краснопутиловская ул., 93",Московская,20,2,45.0,нет,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_15et._2515638462,1,5,166666.0
,,2022-08-02,9599000,"Санкт-Петербург, ул. Орджоникидзе, 15",Московская,15,3,55.0,нет,евро,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_557m_35et._2387971053,3,5,174527.0
,,2022-08-02,8000000,"Санкт-Петербург, пр-т Обуховской Обороны, 71",Елизаровская,10,2,48.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_48m_34et._2486502129,3,4,166666.0
,,2022-08-02,9100000,"Санкт-Петербург, Пушкинский р-н, пос. Шушары, Первомайская ул., 16",Купчино,31,2,69.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_69m_1624et._2495504764,16,24,131884.0
,,2022-08-02,8150000,"Санкт-Петербург, пр-т Энергетиков, 28к5",Ладожская,31,3,56.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_56m_35et._2417010466,3,5,145535.0
,,2022-08-02,7377000,"Санкт-Петербург, Северный пр-т, 63к3",Академическая,20,2,45.0,балкон,евро,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_45m_25et._2520798048,2,5,163933.0
,,2022-08-02,9900000,"Санкт-Петербург, ул. Дыбенко, 18к1",Улица Дыбенко,15,3,62.0,балкон,косметический,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_629m_39et._2459670294,3,9,159677.0
,,2022-08-02,8400000,"Санкт-Петербург, Софийская ул., 29к2",Международная,20,2,58.0,"балкон, лоджия",требует ремонта,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_58m_79et._2438050795,7,9,144827.0
,,2022-08-02,10000000,"Санкт-Петербург, пр-т Юрия Гагарина, 11",Парк Победы,20,3,58.0,балкон,косметический,блочный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_587m_14et._2359531690,1,4,172413.0
,,2022-08-02,6100000,"Санкт-Петербург, ул. Бабушкина, 115к2",Пролетарская,15,2,45.0,нет,требует ремонта,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_458m_15et._2394581698,1,5,135555.0
,,2022-08-02,9490000,"Санкт-Петербург, ул. Дыбенко, 24к2",Улица Дыбенко,5,3,55.0,нет,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_553m_15et._2493538737,1,5,172545.0
,,2022-08-02,8950000,"Санкт-Петербург, Железноводская ул., 46",Приморская,10,2,50.0,балкон,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_505m_35et._2498589950,3,5,179000.0
,,2022-08-02,9900000,"Санкт-Петербург, пос. Парголово, ул. Михаила Дудина, 25к1",Парнас,10,2,65.0,нет,косметический,кирпичный,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_65m_225et._2436913136,2,25,152307.0
,,2022-08-02,8500000,"Санкт-Петербург, Софийская ул., 37к1",Международная,20,3,58.0,балкон,неизвестно,панельный,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_588m_69et._2493209824,6,9,146551.0
